Name,Brand,Creative_Type,Performance_Tier,Campaign_ID,File_Size_KB,Created_Date,Days_Ago,Directory_Source,GitHub_Download_Link,GitHub_View_Link,File_Type,Quality_Priority,Notes
real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040402680702_thumbnail.jpg,MakeMeJedi,video,,238490404026807,1.89,2025-06-24 22:17:10,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040402680702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040402680702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040396820702_thumbnail.jpg,MakeMeJedi,video,,238490403968207,1.87,2025-06-24 22:17:09,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040396820702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040396820702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040396540702_thumbnail.jpg,MakeMeJedi,video,,238490403965407,1.89,2025-06-24 22:17:09,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040396540702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040396540702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040396520702_image.jpg,MakeMeJedi,image,,238490403965207,134.39,2025-06-24 22:17:08,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040396520702_image.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040396520702_image.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040402710702_image.jpg,MakeMeJedi,image,,238490404027107,134.39,2025-06-24 22:17:07,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040402710702_image.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_image:_couple_holding_product___sign_up_23849040402710702_image.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040402730702_thumbnail.jpg,MakeMeJedi,video,,238490404027307,1.87,2025-06-24 22:17:06,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040402730702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video4_-_Copy1_–_PP_(Hyros)_23849040402730702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040403080702_thumbnail.jpg,MakeMeJedi,video,,238490404030807,1.89,2025-06-24 22:17:06,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040403080702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_🐸💙Video2_-_Copy1_(Hyros)_23849040403080702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403480702_thumbnail.jpg,MakeMeJedi,video,,238490404034807,1.94,2025-06-24 22:17:05,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403480702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403480702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403130702_thumbnail.jpg,MakeMeJedi,video,,238490404031307,1.94,2025-06-24 22:17:04,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403130702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040403130702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040396840702_thumbnail.jpg,MakeMeJedi,video,,238490403968407,1.94,2025-06-24 22:17:04,0,.,https://github.com/lac5q/creative-ads-repository/raw/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040396840702_thumbnail.jpg,https://github.com/lac5q/creative-ads-repository/blob/main/real_facebook_creatives_MakeMeJedi_2_video:_Gifting___sign_up_-_old_video_23849040396840702_thumbnail.jpg,jpg,6,"Quality tier: 6, Source: ."
